Year,Location,Code,Cultivar Name,Distributor,Yield,Maturity,Seed Size,Dir Harv Suit,bean_type,trial_group,White Mold
2023,WOOD,10427,16113,ADMA,2354.1,101.0,20.0,3.5,white bean,,
2023,WINC,10427,16113,ADMA,4201.7,94.8,20.0,2.8,white bean,,
2023,STHM,10427,16113,ADMA,3050.3,85.5,19.3,2.5,white bean,,
2023,AUBN,10427,16113,ADMA,3739.2,92.3,18.8,3.8,white bean,,
2023,EXET,10427,16113,ADMA,4350.7,91.5,21.5,4.0,white bean,,
2023,ELOR,10427,16113,ADMA,2841.1,108.0,19.6,3.8,white bean,,
2022,STHM,10413,16816,ADMA,1935.34,95.0,61.3,,coloured bean,major,
2022,WOOD,10413,16816,ADMA,2006.82,74.0,53.875,,coloured bean,major,
2022,ELOR,10413,16816,ADMA,1126.49,73.5,50.775,,coloured bean,major,
2023,WOOD,10413,16816,ADMA,,73.3,51.7,,coloured bean,major,
2023,ELOR,10413,16816,ADMA,2876.6,89.5,61.2,,coloured bean,major,
2023,EXET,10413,16816,ADMA,2630.9,82.0,57.1,,coloured bean,major,
2023,STHM,10413,16816,ADMA,1817.1,78.5,52.2,,coloured bean,major,
2023,WOOD,10428,17122,ADMA,2220.9,96.8,24.0,2.3,white bean,,
2023,WINC,10428,17122,ADMA,3644.1,95.0,24.0,1.1,white bean,,
2023,STHM,10428,17122,ADMA,3931.2,86.0,24.3,2.0,white bean,,
2023,AUBN,10428,17122,ADMA,3649.6,95.5,21.8,2.8,white bean,,
2023,ELOR,10428,17122,ADMA,3216.7,106.8,25.8,2.3,white bean,,
2023,EXET,10428,17122,ADMA,4071.0,92.3,24.6,1.9,white bean,,
2011,KPPN,10142,0319-Merlin,ADMA,3315.0,107.0,22.3,2.0,white bean,,
2011,GRAN,10142,0319-Merlin,ADMA,3081.0,99.0,23.7,1.7,white bean,,
2011,BRUS,10142,0319-Merlin,ADMA,3743.0,108.0,21.8,1.5,white bean,,
2011,ELOR,10142,0319-Merlin,ADMA,1345.0,109.0,20.6,2.8,white bean,,
2011,STHM,10142,0319-Merlin,ADMA,3484.0,92.0,24.7,2.8,white bean,,
2011,WOOD,10142,0319-Merlin,ADMA,2803.0,112.0,19.6,2.6,white bean,,
2012,KPPN,10142,0319-Merlin,ADMA,3265.0,103.0,20.9,1.0,white bean,,
2012,BRUS,10142,0319-Merlin,ADMA,4240.6,113.4,21.3,1.4,white bean,,
2012,ELOR,10142,0319-Merlin,ADMA,3267.8,99.8,22.7,2.3,white bean,,
2012,STHM,10142,0319-Merlin,ADMA,4247.9,85.7,21.3,2.1,white bean,,
2013,KPPN,10142,0319-Merlin,ADMA,3585.2,110.1,20.3,1.0,white bean,,
2013,STHM,10142,0319-Merlin,ADMA,3563.0,87.3,19.3,1.8,white bean,,
2013,ELOR,10142,0319-Merlin,ADMA,4585.9,118.1,21.9,2.8,white bean,,
2013,BLYT,10142,0319-Merlin,ADMA,3767.2,108.6,20.5,1.96,white bean,,
2014,WOOD,10142,0319-Merlin,ADMA,2897.44,110.25,19.1049,3.5,white bean,,
2014,ELOR,10142,0319-Merlin,ADMA,3910.29,114.25,22.521,2.5,white bean,,
2014,HBRY,10142,0319-Merlin,ADMA,3804.14,93.0,21.8,2.25,white bean,,
2014,BLYT,10142,0319-Merlin,ADMA,4149.12,122.5,20.4627,,white bean,,
2014,STHM,10142,0319-Merlin,ADMA,2897.32,93.5,17.8,3.25,white bean,,
2015,WOOD,10142,0319-Merlin,ADMA,3355.73,105.0,18.1,3.0,white bean,,
2015,ELOR,10142,0319-Merlin,ADMA,2966.62,105.0,20.89,3.0,white bean,,
2015,BLYT,10142,0319-Merlin,ADMA,3915.36,115.0,22.21,2.5,white bean,,
2015,KPPN,10142,0319-Merlin,ADMA,3307.15,113.0,19.26,2.67,white bean,,
2013,KPPN,10203,09303,ADMA,4060.3,102.3,29.9,1.3,coloured bean,minor,
2013,STHM,10203,09303,ADMA,3627.4,82.0,27.0,1.9,coloured bean,minor,
2014,STHM,10203,09303,ADMA,2821.54,89.0,24.9,3.25,coloured bean,minor,
2014,BLYT,10208,AAC Argosy,HDCI,4324.53,126.75,22.9302,,white bean,,
2014,WOOD,10208,AAC Argosy,HDCI,3532.57,110.0,22.3659,3.0,white bean,,
2014,ELOR,10208,AAC Argosy,HDCI,4363.75,114.0,18.3298,2.25,white bean,,
2014,STHM,10208,AAC Argosy,HDCI,3928.59,92.5,21.7,3.0,white bean,,
2014,HBRY,10208,AAC Argosy,HDCI,4049.56,95.5,23.8,3.75,white bean,,
2015,BLYT,10208,AAC Argosy,HDCI,3550.12,115.0,26.38,2.25,white bean,,
2015,WOOD,10208,AAC Argosy,HDCI,3920.82,108.0,23.42,2.5,white bean,,
2015,ELOR,10208,AAC Argosy,HDCI,3925.25,100.0,23.34,3.0,white bean,,
2015,KPPN,10208,AAC Argosy,HDCI,3272.2,114.0,23.32,2.33,white bean,,
2016,STHM,10208,AAC Argosy,HDCI,3559.8,90.0,25.8,3.0,white bean,,
2016,EXET,10208,AAC Argosy,HDCI,3277.49,98.0,22.6875,2.375,white bean,,
2016,WOOD,10208,AAC Argosy,HDCI,1869.63,95.0,,1.875,white bean,,
2016,BLYT,10208,AAC Argosy,HDCI,2902.5,104.5,26.5,1.75,white bean,,
2016,ELOR,10208,AAC Argosy,HDCI,2456.81,109.25,,2.75,white bean,,
2017,ELOR,10208,AAC Argosy,HDCI,4109.0,101.3,23.9,1.9,white bean,,
2017,STHM,10208,AAC Argosy,HDCI,4225.0,88.5,22.8,2.5,white bean,,
2017,AUBN,10208,AAC Argosy,HDCI,3717.0,109.8,23.7,1.9,white bean,,
2017,WOOD,10208,AAC Argosy,HDCI,2834.0,97.8,28.6,2.6,white bean,,
2018,EXET,10208,AAC Argosy,HDCI,4041.0,114.5,24.9,2.1,white bean,,
2018,STHM,10208,AAC Argosy,HDCI,3902.0,99.0,24.8,3.3,white bean,,
2018,ELOR,10208,AAC Argosy,HDCI,3609.0,94.0,26.7,2.3,white bean,,
2018,WOOD,10208,AAC Argosy,HDCI,4382.0,101.8,26.2,2.3,white bean,,
2019,ELOR,10208,AAC Argosy,HDCI,2950.0,102.5,26.8,1.8,white bean,,
2019,EXET,10208,AAC Argosy,HDCI,3340.0,90.8,24.1,2.5,white bean,,
2019,STHM,10208,AAC Argosy,HDCI,4593.0,84.5,24.0,3.3,white bean,,
2019,WINC,10208,AAC Argosy,HDCI,3995.0,104.5,24.9,,white bean,,
2019,WOOD,10208,AAC Argosy,HDCI,3838.0,98.5,24.9,2.0,white bean,,
2019,AUBN,10208,AAC Argosy,HDCI,3488.0,95.8,21.9,2.0,white bean,,
2020,AUBN,10208,AAC Argosy,HDCI,3314.0,120.0,23.6,3.4,white bean,,
2020,ELOR,10208,AAC Argosy,HDCI,2622.0,93.3,24.6,2.8,white bean,,
2020,EXET,10208,AAC Argosy,HDCI,3818.0,106.5,24.2,1.5,white bean,,
2020,STHM,10208,AAC Argosy,HDCI,4637.0,94.7,25.0,2.5,white bean,,
2020,WINC,10208,AAC Argosy,HDCI,4072.0,103.5,26.2,,white bean,,
2020,WOOD,10208,AAC Argosy,HDCI,2708.0,89.8,24.8,1.9,white bean,,
2021,WINC,10208,AAC Argosy,HDCI,3978.0,113.0,21.2,2.3,white bean,,
2021,EXET,10208,AAC Argosy,HDCI,3133.0,105.3,20.8,1.5,white bean,,
2021,AUBN,10208,AAC Argosy,HDCI,3928.0,97.8,22.1,2.0,white bean,,
2022,ELOR,10208,AAC Argosy,HDCI,1422.15,92.0,25.175,2.25,white bean,,
2022,AUBN,10208,AAC Argosy,HDCI,2931.05,101.5,24.12,2.25,white bean,,
2022,WOOD,10208,AAC Argosy,HDCI,,89.0,24.975,1.875,white bean,,
2022,WINC,10208,AAC Argosy,HDCI,2903.92,110.0,20.425,2.6667,white bean,,
2022,EXET,10208,AAC Argosy,HDCI,2317.41,94.75,24.4725,2.75,white bean,,
2022,AUBN,10208,AAC Argosy,HDCI,2931.05,101.5,24.12,2.25,white bean,,
2022,ELOR,10208,AAC Argosy,HDCI,1422.15,92.0,25.175,2.25,white bean,,
2022,WOOD,10208,AAC Argosy,HDCI,,89.0,24.975,1.875,white bean,,
2022,EXET,10208,AAC Argosy,HDCI,2317.41,94.75,24.4725,2.75,white bean,,
2022,WINC,10208,AAC Argosy,HDCI,2903.92,110.0,20.425,2.6667,white bean,,
