GeneID,Symbol,Description,FullGeneName
4961759,accD,acetyl-CoA carboxylase beta subunit,acetyl-CoA carboxylase beta subunit
42317451,atp1,ATPase subunit 1,ATPase subunit 1
42317453,atp4,ATPase subunit 4,ATPase subunit 4
42317415,atp6,ATPase subunit 6,ATPase subunit 6
42317443,atp8,ATPase subunit 8,ATPase subunit 8
42317438,atp9,ATPase subunit 9,ATPase subunit 9
4961755,atpA,ATP synthase CF1 alpha subunit,ERROR
4961749,atpB,ATP synthase CF1 beta subunit,ERROR
4961745,atpE,ATP synthase CF1 epsilon subunit,ERROR
4961760,atpF,ATP synthase CF0 B subunit,ERROR
4961797,atpH,ATP synthase CF0 C subunit,ERROR
4961765,atpI,ATP synthase CF0 A subunit,ERROR
42317444,ccmB,cytochrome c biogenesis B,cytochrome c biogenesis B
42317436,ccmC,cytochrome c biogenesis C,cytochrome c biogenesis C
42317447,ccmFc,cytochrome c biogenesis FC,cytochrome c biogenesis FC
42317422,ccmFn,cytochrome c biogenesis FN,cytochrome c biogenesis FN
4961746,ccsA,cytochrome c biogenesis protein,cytochrome c biogenesis protein
4961776,cemA,envelope membrane protein,envelope membrane protein
4961758,clpP,ATP-dependent Clp protease proteolytic subunit,ATP-dependent Clp protease proteolytic subunit
42317450,cob,apocytochrome b,apocytochrome b
42317455,cox1,cytochrome c oxidase subunit 1,cytochrome c oxidase subunit 1
42317431,cox3,cytochrome c oxidase subunit 3,ERROR
137805494,LOC137805494,glucose-1-phosphate adenylyltransferase large subunit 1-like,glucose-1-phosphate adenylyltransferase large subunit 1-like
137805495,LOC137805495,uncharacterized LOC137805495,ERROR
137805496,LOC137805496,uncharacterized mitochondrial protein AtMg00810-like,ERROR
137805497,LOC137805497,uncharacterized LOC137805497,ERROR
137805498,LOC137805498,uncharacterized LOC137805498,ERROR
137805499,LOC137805499,uncharacterized LOC137805499,ERROR
137805500,LOC137805500,zinc finger protein 7-like,ERROR
137805501,LOC137805501,uncharacterized LOC137805501,ERROR
137805502,LOC137805502,uncharacterized LOC137805502,uncharacterized LOC137805502
137805503,LOC137805503,uncharacterized LOC137805503,ERROR
137805504,LOC137805504,uncharacterized LOC137805504,uncharacterized LOC137805504
137805505,LOC137805505,uncharacterized LOC137805505,ERROR
137805506,LOC137805506,uncharacterized LOC137805506,uncharacterized LOC137805506
137805507,LOC137805507,secreted RxLR effector protein 161-like,secreted RxLR effector protein 161-like
137805508,LOC137805508,secreted RxLR effector protein 161-like,ERROR
137805509,LOC137805509,uncharacterized LOC137805509,ERROR
137805510,LOC137805510,uncharacterized LOC137805510,ERROR
137805511,LOC137805511,uncharacterized LOC137805511,uncharacterized LOC137805511
137805512,LOC137805512,uncharacterized LOC137805512,ERROR
137805513,LOC137805513,PKS-NRPS hybrid synthetase cheA-like,ERROR
137805514,LOC137805514,uncharacterized LOC137805514,ERROR
137805515,LOC137805515,uncharacterized LOC137805515,uncharacterized LOC137805515
137805516,LOC137805516,uncharacterized LOC137805516,uncharacterized LOC137805516
137805517,LOC137805517,uncharacterized LOC137805517,uncharacterized LOC137805517
137805518,LOC137805518,uncharacterized LOC137805518,uncharacterized LOC137805518
