Decade,Precipitation,Location,Scenario,Tmin,Tmax
1980,439.0777778,Kempton,RCP_2.5,9.828925121,21.45996377
1990,602.15,Kempton,RCP_2.5,9.736793478,20.52277174
2000,449.29,Kempton,RCP_2.5,10.66972826,22.62331522
2010,495.34,Kempton,RCP_2.5,10.76576087,22.27271739
2020,532.4,Kemptonton,RCP_2.5,11.13646739,22.28701087
2030,491.64,Kemptonton,RCP_2.5,11.38,23.09461957
2040,568.73,Kemptonton,RCP_2.5,11.64184783,22.96336957
2050,491.92,Kempton,RCP_2.5,11.68744565,23.55201087
2060,578.15,Kempton,RCP_2.5,11.4461413,22.43320652
2070,527.18,Kempton,RCP_2.5,11.50853261,22.74755435
2080,577.31,Kempton,RCP_2.5,11.47923913,22.87733696
2090,580.97,Kempton,RCP_2.5,11.30815217,22.64722826
1980,511.3777778,St. Thomas,RCP_2.5,10.95205314,22.2888285
1990,539.81,St. Thomas,RCP_2.5,10.71222826,21.75244565
2000,508.6,St. Thomas,RCP_2.5,11.79331522,23.31641304
2010,543.2,St. Thomas,RCP_2.5,11.75684783,22.88336957
2020,528.11,St. Thomas,RCP_2.5,11.88375,23.03456522
2030,548.79,St. Thomas,RCP_2.5,12.50777174,23.67163043
2040,607.54,St. Thomas,RCP_2.5,12.64538043,23.78048913
2050,476.33,St. Thomas,RCP_2.5,12.81038043,24.46543478
2060,533.24,St. Thomas,RCP_2.5,12.22548913,23.18836957
2070,546.25,St. Thomas,RCP_2.5,12.49266304,23.58913043
2080,523.78,St. Thomas,RCP_2.5,12.44842391,23.82858696
2090,548.73,St. Thomas,RCP_2.5,12.27168478,23.45918478
1980,440.4222222,Thorndale,RCP_2.5,10.29704106,20.25102657
1990,532.89,Thorndale,RCP_2.5,10.20826087,19.54902174
2000,470.43,Thorndale,RCP_2.5,11.02097826,21.32076087
2010,543.36,Thorndale,RCP_2.5,11.26173913,21.06315217
2020,485.42,Thorndale,RCP_2.5,11.50402174,21.15858696
2030,484.12,Thorndale,RCP_2.5,11.89641304,21.84244565
2040,560.37,Thorndale,RCP_2.5,12.19217391,21.9588587
2050,471.48,Thorndale,RCP_2.5,12.22793478,22.50293478
2060,533.7,Thorndale,RCP_2.5,11.88222826,21.4211413
2070,528.48,Thorndale,RCP_2.5,11.96086957,21.5963587
2080,510.01,Thorndale,RCP_2.5,11.88782609,21.84298913
2090,552.88,Thorndale,RCP_2.5,11.72277174,21.4861413
1980,469.9444444,Timmins,RCP_2.5,5.461775362,18.53925121
1990,514.15,Timmins,RCP_2.5,5.439076087,17.69527174
2000,463.51,Timmins,RCP_2.5,6.349619565,19.81907609
2010,491.59,Timmins,RCP_2.5,6.622391304,19.82902174
2020,519.05,Timmins,RCP_2.5,6.706032609,19.28456522
2030,518.13,Timmins,RCP_2.5,7.063152174,20.18820652
2040,577.67,Timmins,RCP_2.5,7.415054348,20.02815217
2050,501.83,Timmins,RCP_2.5,7.221576087,20.55190217
2060,514.77,Timmins,RCP_2.5,7.056902174,19.79440217
2070,551.62,Timmins,RCP_2.5,6.927934783,19.58141304
2080,525.87,Timmins,RCP_2.5,6.909565217,19.9573913
2090,601.27,Timmins,RCP_2.5,7.061521739,19.75103261
1980,509.6,Woodstock,RCP_2.5,10.36237923,21.83731884
1990,544.49,Woodstock,RCP_2.5,10.15271739,21.24440217
2000,509.93,Woodstock,RCP_2.5,11.25472826,22.95559783
2010,543.4,Woodstock,RCP_2.5,11.25146739,22.51538043
2020,528.59,Woodstock,RCP_2.5,11.40597826,22.63641304
2030,551.18,Woodstock,RCP_2.5,11.99619565,23.29755435
2040,605.26,Woodstock,RCP_2.5,12.16777174,23.43206522
2050,474.35,Woodstock,RCP_2.5,12.29663043,24.09163043
2060,540.15,Woodstock,RCP_2.5,11.77521739,22.7775
2070,558.98,Woodstock,RCP_2.5,12.00695652,23.19048913
2080,531.91,Woodstock,RCP_2.5,11.97168478,23.43413043
2090,551.4,Woodstock,RCP_2.5,11.78853261,23.08005435
1980,530.1444444,Exeter,RCP_2.5,10.83816425,21.27934783
1990,561.79,Exeter,RCP_2.5,10.61923913,20.7111413
2000,534.51,Exeter,RCP_2.5,11.71771739,22.4138587
2010,575.51,Exeter,RCP_2.5,11.69277174,21.95347826
