Name,Grow Year,Location,Distributor,Yield,Maturity,Seed Size,Harvestability,bean_type,Released Year,Market Class,Common Mosaic Virus R1,Common Mosaic Virus R15,Anthracnose R17,Anthracnose R23,Anthracnose R73,Common Blight,Pedigree
0319-Merlin,2011.0,Kippen,ADMA,3315.0,107.0,22.3,2.0,white bean,,White Navy,,,,,,,
0319-Merlin,2011.0,Granton,ADMA,3081.0,99.0,23.7,1.7,white bean,,White Navy,,,,,,,
0319-Merlin,2011.0,Brussels,ADMA,3743.0,108.0,21.8,1.5,white bean,,White Navy,,,,,,,
0319-Merlin,2011.0,Elora,ADMA,1345.0,109.0,20.6,2.8,white bean,,White Navy,,,,,,,
0319-Merlin,2011.0,St. Thomas,ADMA,3484.0,92.0,24.7,2.8,white bean,,White Navy,,,,,,,
0319-Merlin,2011.0,Woodstock,ADMA,2803.0,112.0,19.6,2.6,white bean,,White Navy,,,,,,,
0319-Merlin,2012.0,Kippen,ADMA,3265.0,103.0,20.9,1.0,white bean,,White Navy,,,,,,,
0319-Merlin,2012.0,Brusselssels,ADMA,4240.6,113.4,21.3,1.4,white bean,,White Navy,,,,,,,
0319-Merlin,2012.0,Elora,ADMA,3267.8,99.8,22.7,2.3,white bean,,White Navy,,,,,,,
0319-Merlin,2012.0,St. Thomas,ADMA,4247.9,85.7,21.3,2.1,white bean,,White Navy,,,,,,,
0319-Merlin,2013.0,Kippen,ADMA,3585.2,110.1,20.3,1.0,white bean,,White Navy,,,,,,,
0319-Merlin,2013.0,St. Thomas,ADMA,3563.0,87.3,19.3,1.8,white bean,,White Navy,,,,,,,
0319-Merlin,2013.0,Elora,ADMA,4585.9,118.1,21.9,2.8,white bean,,White Navy,,,,,,,
0319-Merlin,2013.0,Blyth,ADMA,3767.2,108.6,20.5,1.96,white bean,,White Navy,,,,,,,
0319-Merlin,2014.0,Woodstock,ADMA,2897.44,110.25,19.1049,3.5,white bean,,White Navy,,,,,,,
0319-Merlin,2014.0,Elora,ADMA,3910.29,114.25,22.521,2.5,white bean,,White Navy,,,,,,,
0319-Merlin,2014.0,Harrow-Blyth,ADMA,3804.14,93.0,21.8,2.25,white bean,,White Navy,,,,,,,
0319-Merlin,2014.0,Blyth,ADMA,4149.12,122.5,20.4627,,white bean,,White Navy,,,,,,,
0319-Merlin,2014.0,St. Thomas,ADMA,2897.32,93.5,17.8,3.25,white bean,,White Navy,,,,,,,
0319-Merlin,2015.0,Woodstock,ADMA,3355.73,105.0,18.1,3.0,white bean,,White Navy,,,,,,,
0319-Merlin,2015.0,Elora,ADMA,2966.62,105.0,20.89,3.0,white bean,,White Navy,,,,,,,
0319-Merlin,2015.0,Blyth,ADMA,3915.36,115.0,22.21,2.5,white bean,,White Navy,,,,,,,
0319-Merlin,2015.0,Kippen,ADMA,3307.15,113.0,19.26,2.67,white bean,,White Navy,,,,,,,
AAC Argosy,2014.0,Blyth,HDCI,4324.53,126.75,22.9302,,white bean,,White Navy,,,,,,,
AAC Argosy,2014.0,Woodstock,HDCI,3532.57,110.0,22.3659,3.0,white bean,,White Navy,,,,,,,
AAC Argosy,2014.0,Elora,HDCI,4363.75,114.0,18.3298,2.25,white bean,,White Navy,,,,,,,
AAC Argosy,2014.0,St. Thomas,HDCI,3928.59,92.5,21.7,3.0,white bean,,White Navy,,,,,,,
AAC Argosy,2014.0,Harrow-Blyth,HDCI,4049.56,95.5,23.8,3.75,white bean,,White Navy,,,,,,,
AAC Argosy,2015.0,Blyth,HDCI,3550.12,115.0,26.38,2.25,white bean,,White Navy,,,,,,,
AAC Argosy,2015.0,Woodstock,HDCI,3920.82,108.0,23.42,2.5,white bean,,White Navy,,,,,,,
AAC Argosy,2015.0,Elora,HDCI,3925.25,100.0,23.34,3.0,white bean,,White Navy,,,,,,,
AAC Argosy,2015.0,Kippen,HDCI,3272.2,114.0,23.32,2.33,white bean,,White Navy,,,,,,,
AAC Argosy,2016.0,St. Thomas,HDCI,3559.8,90.0,25.8,3.0,white bean,,White Navy,,,,,,,
AAC Argosy,2016.0,Exeter,HDCI,3277.49,98.0,22.6875,2.375,white bean,,White Navy,,,,,,,
AAC Argosy,2016.0,Woodstock,HDCI,1869.63,95.0,,1.875,white bean,,White Navy,,,,,,,
AAC Argosy,2016.0,Blyth,HDCI,2902.5,104.5,26.5,1.75,white bean,,White Navy,,,,,,,
AAC Argosy,2016.0,Elora,HDCI,2456.81,109.25,,2.75,white bean,,White Navy,,,,,,,
AAC Argosy,2017.0,Elora,HDCI,4109.0,101.3,23.9,1.9,white bean,,White Navy,,,,,,,
AAC Argosy,2017.0,St. Thomas,HDCI,4225.0,88.5,22.8,2.5,white bean,,White Navy,,,,,,,
AAC Argosy,2017.0,Auburn,HDCI,3717.0,109.8,23.7,1.9,white bean,,White Navy,,,,,,,
AAC Argosy,2017.0,Woodstock,HDCI,2834.0,97.8,28.6,2.6,white bean,,White Navy,,,,,,,
AAC Argosy,2018.0,Exeter,HDCI,4041.0,114.5,24.9,2.1,white bean,,White Navy,,,,,,,
AAC Argosy,2018.0,St. Thomas,HDCI,3902.0,99.0,24.8,3.3,white bean,,White Navy,,,,,,,
AAC Argosy,2018.0,Elora,HDCI,3609.0,94.0,26.7,2.3,white bean,,White Navy,,,,,,,
AAC Argosy,2018.0,Woodstock,HDCI,4382.0,101.8,26.2,2.3,white bean,,White Navy,,,,,,,
AAC Argosy,2019.0,Elora,HDCI,2950.0,102.5,26.8,1.8,white bean,,White Navy,,,,,,,
AAC Argosy,2019.0,Exeter,HDCI,3340.0,90.8,24.1,2.5,white bean,,White Navy,,,,,,,
AAC Argosy,2019.0,St. Thomas,HDCI,4593.0,84.5,24.0,3.3,white bean,,White Navy,,,,,,,
AAC Argosy,2019.0,Winchester,HDCI,3995.0,104.5,24.9,,white bean,,White Navy,,,,,,,
AAC Argosy,2019.0,Woodstock,HDCI,3838.0,98.5,24.9,2.0,white bean,,White Navy,,,,,,,
AAC Argosy,2019.0,Auburn,HDCI,3488.0,95.8,21.9,2.0,white bean,,White Navy,,,,,,,
AAC Argosy,2020.0,Auburn,HDCI,3314.0,120.0,23.6,3.4,white bean,,White Navy,,,,,,,
AAC Argosy,2020.0,Elora,HDCI,2622.0,93.3,24.6,2.8,white bean,,White Navy,,,,,,,
AAC Argosy,2020.0,Exeter,HDCI,3818.0,106.5,24.2,1.5,white bean,,White Navy,,,,,,,
AAC Argosy,2020.0,St. Thomas,HDCI,4637.0,94.7,25.0,2.5,white bean,,White Navy,,,,,,,
AAC Argosy,2020.0,Winchester,HDCI,4072.0,103.5,26.2,,white bean,,White Navy,,,,,,,
AAC Argosy,2020.0,Woodstock,HDCI,2708.0,89.8,24.8,1.9,white bean,,White Navy,,,,,,,
AAC Argosy,2021.0,Winchester,HDCI,3978.0,113.0,21.2,2.3,white bean,,White Navy,,,,,,,
AAC Argosy,2021.0,Exeter,HDCI,3133.0,105.3,20.8,1.5,white bean,,White Navy,,,,,,,
AAC Argosy,2021.0,Auburn,HDCI,3928.0,97.8,22.1,2.0,white bean,,White Navy,,,,,,,
AAC Argosy,2022.0,Elora,HDCI,1422.15,92.0,25.175,2.25,white bean,,White Navy,,,,,,,
AAC Argosy,2022.0,Auburn,HDCI,2931.05,101.5,24.12,2.25,white bean,,White Navy,,,,,,,
AAC Argosy,2022.0,Woodstock,HDCI,,89.0,24.975,1.875,white bean,,White Navy,,,,,,,
AAC Argosy,2022.0,Winchester,HDCI,2903.92,110.0,20.425,2.6667,white bean,,White Navy,,,,,,,
AAC Argosy,2022.0,Exeter,HDCI,2317.41,94.75,24.4725,2.75,white bean,,White Navy,,,,,,,
AAC Argosy,2022.0,Auburn,HDCI,2931.05,101.5,24.12,2.25,white bean,,White Navy,,,,,,,
AAC Argosy,2022.0,Elora,HDCI,1422.15,92.0,25.175,2.25,white bean,,White Navy,,,,,,,
AAC Argosy,2022.0,Woodstock,HDCI,,89.0,24.975,1.875,white bean,,White Navy,,,,,,,
AAC Argosy,2022.0,Exeter,HDCI,2317.41,94.75,24.4725,2.75,white bean,,White Navy,,,,,,,
AAC Argosy,2022.0,Winchester,HDCI,2903.92,110.0,20.425,2.6667,white bean,,White Navy,,,,,,,
AAC Argosy,2023.0,Woodstock,HDCI,2525.0,106.0,23.9,2.1,white bean,,White Navy,,,,,,,
AAC Argosy,2023.0,St. Thomas,HDCI,4140.3,92.3,25.0,2.3,white bean,,White Navy,,,,,,,
AAC Argosy,2023.0,Elora,HDCI,3691.1,113.0,25.7,1.9,white bean,,White Navy,,,,,,,
AAC Argosy,2023.0,Exeter,HDCI,4432.9,97.0,23.4,1.5,white bean,,White Navy,,,,,,,
AAC Argosy,2023.0,Auburn,HDCI,4907.2,97.8,22.7,2.1,white bean,,White Navy,,,,,,,
AAC Argosy,2023.0,Winchester,HDCI,4696.0,106.5,23.9,1.2,white bean,,White Navy,,,,,,,
AAC Argosy,2024.0,Woodstock,HDCI,3244.0,93.0,22.3,2.6,white bean,,White Navy,,,,,,,
AAC Argosy,2024.0,Exeter,HDCI,2634.9,87.0,22.6,2.5,white bean,,White Navy,,,,,,,
AAC Argosy,2024.0,Elora,HDCI,3274.7,88.8,24.5,2.3,white bean,,White Navy,,,,,,,
AAC Argosy,2024.0,Blyth,HDCI,3833.8,83.5,22.6,4.3,white bean,,White Navy,,,,,,,
AAC Argosy,2024.0,Winchester,HDCI,4132.3,100.5,23.8,1.8,white bean,,White Navy,,,,,,,
